,Unnamed: 0,Date,Open,High,Low,Close,Volume,Name,Acc/Dist_ROC_1,ADX_14_50,ATR_14,BollingerB_5,Bollinger%b_5,BollingerB_20,Bollinger%b_20,Copp_10,Chaikin,EMA_5,EMA_20,Force_2,KST_10_10_10_15_10_15_20_30,MA_5,MA_20,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,MFI_14,Momentum_1,Mass Index,OBV_5,OBV_20,PP,R1,R2,R3,S1,S2,S3,ROC_5,ROC_20,RSI_6,RSI_12,STD_5,STD_20,SO%d_5,SO%d_20,SO%k,Trix_5,Trix_20,TSI_25_13,buy,sell
32,32,2015-02-19,67.0,68.17,65.25,65.3,1225397,QRVO,-0.0,,2.7986314890661728,0.11996821957091786,0.2042632533291769,0.21756121788974855,0.23194693590103946,-0.110848647424223,-562750.5576696717,66.98375854402376,67.90541854930126,-1040936.76,,67.70199999999998,69.34400000000001,-0.5444010311643268,-0.5121021344110879,-0.03229889675323894,0.2857142857142857,-2.240000000000009,,-45222.4,-242147.45,66.24000000000001,67.23000000000002,69.16000000000003,70.15000000000002,64.31000000000002,63.32000000000001,61.39000000000002,-0.01359516616314208,-0.0752018127743946,0.3666023393025337,0.4267168120146815,2.0305221003475693,3.7716412733366815,0.35550053257439096,0.5065490392268299,0.017123287671231894,-0.0009049209764448672,,,0,0
33,33,2015-02-20,65.57,65.77,64.04,65.17,1463428,QRVO,0.0,,2.655040415435467,0.1339486776208411,0.24272757280963245,0.22413720824540556,0.2479589527369855,-0.10600481475911494,-121188.52571371454,66.3791717398721,67.63593441408226,-964049.640000002,,67.49600000000001,69.07200000000002,-0.6747731739681626,-0.5485498903127597,-0.12622328365540292,0.2857142857142857,-0.12999999999999545,,-569713.2,-381954.0,64.99333333333334,65.94666666666667,66.72333333333331,67.67666666666666,64.21666666666668,63.26333333333335,62.486666666666686,-0.06939882907325431,-0.11176230066784792,0.2706845674786064,0.3662608773249938,2.2602499861740726,3.870401311981664,0.4547268541839672,0.5209945432213592,0.6531791907514464,-0.0020958159663399963,,,0,0
34,34,2015-02-23,65.16,65.88,64.3,65.05,889737,QRVO,-0.0,,2.510737647000352,0.116622722018843,0.31303376476950584,0.2232029303900424,0.2646862346993057,-0.09816190850524026,-86454.91170178073,65.9361141889732,67.38200944187386,83915.0,,66.5,68.65600000000002,-0.7779347437521267,-0.5987379855549039,-0.1791967581972228,0.35714285714285715,-0.12000000000000455,,-1121836.2,-510320.6,65.07666666666667,65.85333333333334,66.65666666666665,67.43333333333334,64.27333333333334,63.49666666666667,62.69333333333334,-0.06322004608294933,-0.11073137388926874,0.29418784000842835,0.3757626991913294,1.938852753563265,3.8310550972146893,0.4613790887924094,0.5164470500409266,0.474683544303798,-0.003128745709087995,,,0,0
35,35,2015-02-24,65.36,69.35,65.2,69.34,1700103,QRVO,0.0,,2.7506953053167953,0.1143857877001554,0.8760996723924874,0.2154591628652477,0.5592820292823559,-0.061287832687277666,488054.73619280657,67.07074331212853,67.57370690781725,986934.7500000005,,66.48,68.4655,-0.5270634437182622,-0.5833452998826141,0.056281856164351884,0.42857142857142855,4.290000000000006,,-587023.0,-346724.15,67.96333333333334,70.72666666666667,72.11333333333333,74.87666666666667,66.57666666666668,63.81333333333335,62.42666666666669,0.026650873556410968,-0.059796610169491476,0.7087318939334565,0.5995819603892333,1.901091791576583,3.687879828787654,0.6401162615100725,0.5635534843233249,0.9975903614457852,-0.0013682654761806743,,-0.09359542938972404,0,0
36,36,2015-02-25,68.95,69.28,66.6,67.21,965173,QRVO,-0.0,,2.7492620726997203,0.1120477230034154,0.6069671425583039,0.20421113878859384,0.4332717228328109,-0.04436922791391635,-26720.047152677027,67.117162222254,67.53819282856892,162941.75999999975,,66.414,68.13850000000001,-0.4856077391274027,-0.5626606363267569,0.07705289719935415,0.42857142857142855,-2.1300000000000097,,-568726.4,-457317.15,67.69666666666666,68.79333333333332,70.37666666666667,71.47333333333333,66.11333333333332,65.01666666666665,63.43333333333331,0.029249617151607912,-0.10980132450331134,0.7087318939334565,0.5995819603892333,1.860384368887208,3.47866017008665,0.5026147791370073,0.5307505477805368,0.2276119402985067,-0.0003530080338862167,,-0.08267092491406629,0,0
37,37,2015-02-26,68.0,71.72,67.89,71.53,2116352,QRVO,0.0,,2.9850525592080923,0.16461783795536775,0.8474578100628225,0.18442962768470966,0.7865089654757678,-0.001416104317331723,538793.8786219478,68.58810844748466,67.92703612106335,911585.309999999,,67.66,67.94000000000001,-0.11996193632781173,-0.4700477379825063,0.3500858016546945,0.5,4.3200000000000065,,99623.4,-504649.8,70.38000000000002,72.87000000000002,74.21000000000002,76.70000000000002,69.04000000000002,66.55000000000001,65.21000000000002,0.09759091606567437,-0.05583421330517428,0.8390307988179319,0.7038624225033149,2.7845107290150457,3.132537226224795,0.651873764766158,0.5716279295942356,0.9503916449086168,0.0025799202187713173,,-0.03523891853995046,0,0
38,38,2015-02-27,70.75,71.43,69.2,69.4,1400857,QRVO,-0.0,,2.897381782639278,0.14380464640936366,0.5907477759229567,0.15196496096402975,0.6730215835060487,0.0239126105776556,-250994.84913358052,68.85873900170259,68.07020703063047,954147.9600000052,,68.506,67.62200000000001,0.0054281498687913645,-0.3714846811463093,0.3769128310151007,0.5,-2.1299999999999955,24.70665922442493,112137.6,-706527.95,70.01,70.82000000000002,72.24,73.05000000000003,68.59,67.78,66.36,0.06687163720215232,-0.06051170976038985,0.8390307988179319,0.7038624225033149,2.4628702767299666,2.5690436475774057,0.4644778506408512,0.5247835695384618,0.08968609865470964,0.004035638473396034,,-0.018276308915683718,0,0
39,39,2015-03-02,69.39,70.8,68.8,69.35,1127924,QRVO,-0.0,,2.7773387567795487,0.08808489118946426,0.4973813834467261,0.12796612601725954,0.7265663536691692,0.02993425777059539,-347012.6032722991,69.02249268261123,68.19435840870143,2154773.040000006,,69.366,67.396,0.099690290322215,-0.2745203845396932,0.3742106748619082,0.5,-0.05000000000001137,24.606145858633752,64500.2,-681755.7,69.64999999999999,70.49999999999999,71.64999999999998,72.49999999999999,68.49999999999999,67.64999999999999,66.49999999999999,0.00014421690222080912,0.009167636786961515,0.7335860122938537,0.6642533593245801,1.5275241405620943,2.156101257264806,0.40131856138191774,0.5005523265797177,0.2749999999999986,0.004490159625178121,,-0.006296337262383429,0,0
40,40,2015-03-03,69.36,70.96,68.35,70.84,1509044,QRVO,0.0,,2.7549635790041296,0.09545414219337996,0.6765437886246589,0.13472390767437648,0.8670498244062991,0.045313905482984036,242666.57053549192,69.62832849160111,68.4505556444611,155789.27999999974,,69.66599999999998,67.502,0.2865246776786421,-0.15972644231897812,0.4462511199976201,0.5,1.4900000000000089,24.605858340651842,26288.4,-438888.05,70.05,71.75,72.66,74.36,69.14,67.44,66.53,0.054009819967266934,0.033858727378867595,0.6123742681499169,0.6180143481147158,1.662477067511002,2.2735333039589403,0.5855533815310476,0.5444652777767561,0.9540229885057508,0.00517622443246768,,0.014079471620691925,0,0
41,41,2015-03-04,70.23,73.25,70.11,72.02,1397547,QRVO,0.0,,2.806428037057185,0.06900080654373282,0.7856328542867734,0.14665134723075535,0.9375852488599928,0.06517881008836637,122170.27534570852,70.42555235977811,68.79565965150971,719893.4100000005,,70.62799999999999,67.67699999999999,0.5202090979159948,-0.021244668410496183,0.541453766326491,0.5714285714285714,1.1799999999999926,24.663011532173858,498832.4,-241421.0,71.79333333333334,73.47666666666667,74.93333333333334,76.61666666666667,70.33666666666667,68.65333333333334,67.19666666666667,0.006850272612889625,0.054002634274842636,0.8219601185909058,0.7307395427138205,1.2183472411426903,2.481230806633957,0.5931290062508869,0.5506350908005537,0.6082802547770688,0.006191586145450045,,0.03827009215296817,0,0
42,42,2015-03-05,72.2,75.16,72.02,74.51,1621943,QRVO,0.0,,2.850999073553841,0.120509578765694,0.8828420475782783,0.17144225718126455,1.0597274249127122,0.0906652937419142,267862.09165880096,71.78703494300152,69.34734125088873,414339.33000000025,,71.22399999999998,67.986,0.8891348846583611,0.16349360125098247,0.7256412834073787,0.5714285714285714,2.490000000000009,24.674367023957576,399950.6,-85345.95,73.89666666666666,75.77333333333333,77.03666666666669,78.91333333333333,72.63333333333333,70.75666666666666,69.49333333333333,0.07363112391930834,0.10565365781273192,0.8908639636304071,0.7914141894962069,2.1457935595019464,2.9139183241813638,0.6597505494768902,0.5740331977894536,0.7929936305732511,0.00813982892790846,,0.07424658429121217,0,0
