Date,ATR_1,Copp_1,EMA_1,MA_1,OBV_1,PP,R1,R2,R3,S1,S2,S3,ROC_1,Trix_1
2014-03-21,1.6450000000000102,0.0,127.25,127.2500000000005,1472200.0,127.17833333333333,128.03666666666666,128.82333333333332,129.68166666666667,126.39166666666664,125.53333333333332,124.74666666666664,0.0,0.004340962904498794
2014-03-24,2.7349999999999994,0.0,125.75,125.75000000000051,-1155500.0,126.02166666666666,127.25333333333332,128.75666666666666,129.98833333333332,124.51833333333332,123.28666666666666,121.78333333333332,0.0,-0.011787819253438114
2014-03-25,2.9299999999999926,0.0,124.12,124.12000000000052,-722000.0,124.87666666666668,125.96333333333332,127.80666666666666,128.89333333333332,123.03333333333332,121.94666666666667,120.10333333333334,0.0,-0.01296222664015901
2014-03-26,2.9399999999999977,0.0,123.11,123.11000000000051,-1389400.0,124.00333333333332,125.02666666666666,126.94333333333334,127.96666666666664,122.08666666666666,121.06333333333332,119.14666666666666,0.0,-0.008137286496938487
2014-03-27,3.6599999999999966,0.0,121.26,121.26000000000052,-1585800.0,122.14,123.53,125.8,127.19,119.87,118.48,116.21,0.0,-0.015027211436926282
2014-03-28,3.25,0.0,122.41,122.41000000000051,1299800.0,123.06333333333332,123.85666666666668,125.30333333333333,126.09666666666668,121.61666666666666,120.82333333333332,119.37666666666664,0.0,0.009483753917202634
2014-03-31,3.4299999999999926,0.0,123.2,123.20000000000051,821700.0,123.31,124.97,126.73999999999998,128.39999999999998,121.54,119.88,118.11,0.0,0.0064537211012172715
2014-04-01,2.6599999999999966,0.0,125.64,125.64000000000055,867900.0,124.96333333333332,126.53666666666665,127.43333333333332,129.00666666666666,124.06666666666663,122.49333333333333,121.59666666666664,0.0,0.019805194805194788
2014-04-02,2.6299999999999955,0.0,126.5,126.50000000000055,549200.0,126.69,127.91,129.32,130.54,125.28,124.06,122.65,0.0,0.006844953836357843
2014-04-03,2.9200000000000017,0.0,124.9,124.90000000000056,-980600.0,125.42666666666666,126.62333333333332,128.34666666666664,129.54333333333332,123.70333333333332,122.50666666666666,120.78333333333332,0.0,-0.012648221343873473
2014-04-04,3.4099999999999966,0.0,122.72,122.72000000000055,-895200.0,123.67666666666666,124.90333333333332,127.08666666666666,128.31333333333333,121.49333333333333,120.26666666666668,118.08333333333331,0.0,-0.017453963170536484
2014-04-07,5.524999999999992,0.0,118.94,118.94000000000055,-1645400.0,120.41166666666668,122.43833333333336,125.93666666666664,127.96333333333334,116.91333333333336,114.88666666666668,111.38833333333336,0.0,-0.030801825293350724
2014-04-08,4.329999999999998,0.0,121.15,121.15000000000056,1296800.0,119.96,122.71999999999998,124.29,127.04999999999998,118.39,115.63,114.06,0.0,0.0185807970405247
2014-04-09,3.0,0.0,124.04,124.04000000000055,998500.0,123.18333333333334,125.00666666666667,125.97333333333334,127.79666666666668,122.21666666666668,120.39333333333332,119.42666666666666,0.0,0.02385472554684276
2014-04-10,4.180000000000007,0.0,121.99,121.99000000000052,-864500.0,122.60333333333334,124.38666666666668,126.78333333333336,128.5666666666667,120.20666666666668,118.42333333333332,116.02666666666669,0.0,-0.016526926797807248
2014-04-11,3.6599999999999966,0.0,118.46,118.46000000000052,-1203300.0,119.55333333333333,120.77666666666666,123.09333333333336,124.31666666666666,117.23666666666664,116.01333333333332,113.69666666666664,0.0,-0.02893679809820478
2014-04-14,2.5690000000000026,0.0,119.41,119.41000000000051,1002400.0,119.46633333333334,120.72266666666668,122.03533333333336,123.29166666666669,118.15366666666668,116.89733333333334,115.58466666666668,0.0,0.008019584669930803
2014-04-15,3.3599999999999994,0.0,118.07,118.07000000000052,-812700.0,118.33,119.88,121.69,123.24,116.52,114.97,113.16,0.0,-0.011221840716857914
2014-04-16,2.22,0.0,118.11,118.11000000000051,1249800.0,118.43666666666668,119.38333333333334,120.65666666666664,121.60333333333334,117.16333333333334,116.21666666666668,114.94333333333334,0.0,0.0003387820784281041
2014-04-17,1.5300000000000011,0.0,117.83,117.83000000000051,-1726600.0,117.72,118.54000000000002,119.25000000000004,120.07000000000002,117.01000000000002,116.19,115.48000000000002,0.0,-0.0023706714080094925
2014-04-21,7.239999999999995,0.0,123.61,123.61000000000051,1307500.0,123.03,125.64999999999998,127.68999999999996,130.30999999999997,120.98999999999998,118.37,116.32999999999998,0.0,0.04905372146312485
2014-04-22,3.9899999999999953,0.0,126.96,126.96000000000048,1961700.0,125.93666666666668,128.44333333333333,129.92666666666668,132.43333333333334,124.45333333333332,121.94666666666667,120.46333333333334,0.0,0.02710136720330066
2014-04-23,2.1098999999999957,0.0,128.1,128.1000000000005,1736300.0,127.99663333333336,129.10326666666668,130.10653333333335,131.2131666666667,126.9933666666667,125.88673333333335,124.88346666666668,0.0,0.008979206049149344
2014-04-24,3.0999999999999943,0.0,130.49,130.49000000000055,2178400.0,129.75666666666666,131.67333333333332,132.85666666666665,134.7733333333333,128.57333333333332,126.65666666666668,125.47333333333331,0.0,0.01865729898516796
2014-04-25,2.230000000000018,0.0,130.01,130.01000000000056,-1911700.0,129.5533333333333,130.84666666666664,131.68333333333328,132.97666666666663,128.71666666666664,127.42333333333332,126.58666666666664,0.0,-0.003678442792551293
2014-04-28,12.689999999999998,0.0,140.05,140.05000000000058,7014400.0,138.36333333333332,144.38666666666663,148.72333333333327,154.7466666666666,134.02666666666664,128.00333333333333,123.66666666666666,0.0,0.07722482885931868
2014-04-29,4.755000000000023,0.0,137.15,137.1500000000006,-2275600.0,137.43499999999997,139.57499999999996,141.99999999999997,144.14,135.00999999999993,132.86999999999995,130.4449999999999,0.0,-0.02070689039628708
2014-04-30,3.009999999999991,0.0,135.53,135.53000000000065,-1843200.0,136.0533333333333,137.29666666666662,139.06333333333333,140.30666666666662,134.28666666666663,133.04333333333332,131.27666666666664,0.0,-0.01181188479766682
2014-05-01,3.3050000000000064,0.0,136.68,136.6800000000006,1386300.0,136.19833333333335,138.0916666666667,139.5033333333334,141.39666666666668,134.7866666666667,132.89333333333335,131.48166666666668,0.0,0.008485206227403569
2014-05-02,2.13900000000001,0.0,137.21,137.2100000000006,711900.0,137.20966666666666,138.27933333333334,139.34866666666665,140.41833333333335,136.14033333333333,135.07066666666665,134.00133333333332,0.0,0.003877670471173552
2014-05-05,2.1964999999999857,0.0,138.41,138.41000000000057,665600.0,137.77716666666666,139.1918333333333,139.97366666666665,141.38833333333332,136.99533333333332,135.58066666666667,134.79883333333333,0.0,0.00874571824211055
2014-05-06,1.9099999999999968,0.0,138.42,138.42000000000056,966500.0,138.51666666666665,139.4233333333333,140.42666666666662,141.33333333333331,137.5133333333333,136.60666666666665,135.6033333333333,0.0,7.224911494827619e-05
2014-05-07,1.7849999999999966,0.0,139.52,139.52000000000058,1290700.0,139.10166666666666,140.20333333333332,140.88666666666666,141.98833333333332,138.41833333333332,137.31666666666666,136.63333333333333,0.0,0.007946828492992506
2014-05-08,3.667999999999978,0.0,137.41,137.41000000000057,-1236000.0,137.77266666666665,139.4253333333333,141.44066666666663,143.09333333333328,135.75733333333332,134.10466666666667,132.08933333333334,0.0,-0.01512327981651386
2014-05-09,2.47,0.0,137.95,137.95000000000059,691400.0,137.74666666666664,139.08333333333331,140.21666666666667,141.55333333333328,136.61333333333332,135.27666666666664,134.1433333333333,0.0,0.0039298449894475795
2014-05-12,2.8600000000000136,0.0,137.07,137.07000000000056,-1147400.0,137.44333333333333,138.68666666666667,140.30333333333334,141.54666666666668,135.82666666666665,134.58333333333331,132.96666666666664,0.0,-0.006379122870605259
2014-05-13,2.2700000000000102,0.0,136.62,136.62000000000054,-1853600.0,136.38333333333333,137.63666666666666,138.6533333333333,139.90666666666667,135.36666666666665,134.11333333333332,133.09666666666664,0.0,-0.003282994090610555
2014-05-14,1.7280000000000086,0.0,136.15,136.15000000000055,-1461700.0,136.034,136.95600000000002,137.76200000000003,138.684,135.22799999999998,134.30599999999998,133.49999999999997,0.0,-0.003440199092372997
2014-05-15,3.01000000000002,0.0,136.91,136.9100000000005,1005700.0,136.06666666666663,137.99333333333328,139.07666666666665,141.00333333333333,134.98333333333326,133.05666666666662,131.97333333333322,0.0,0.005582078589790605
2014-05-16,2.2100000000000084,0.0,137.46,137.46000000000052,508700.0,137.11666666666667,138.39333333333335,139.32666666666668,140.60333333333335,136.18333333333334,134.90666666666667,133.97333333333333,0.0,0.004017237601344032
2014-05-19,2.7899999999999916,0.0,138.68,138.68000000000055,765900.0,137.93,139.70000000000002,140.72,142.49,136.91000000000003,135.14,134.12000000000003,0.0,0.008875309180852603
2014-05-20,2.3799999999999955,0.0,138.96,138.96000000000055,759400.0,138.98000000000002,140.16000000000003,141.36,142.54000000000005,137.78000000000003,136.60000000000002,135.40000000000003,0.0,0.0020190366310931717
2014-05-21,1.6100000000000136,0.0,138.56,138.56000000000054,-621200.0,138.77,139.47000000000003,140.38000000000005,141.08000000000004,137.86,137.16,136.25,0.0,-0.0028785261945884115
2014-05-22,1.9000000000000057,0.0,138.17,138.17000000000053,-754100.0,138.44999999999996,139.25999999999993,140.34999999999997,141.15999999999994,137.35999999999993,136.54999999999995,135.45999999999992,0.0,-0.002814665127020892
2014-05-23,3.1100000000000136,0.0,140.59,140.59000000000054,663400.0,140.08669999999998,141.78329999999997,142.9766,144.67319999999995,138.89339999999996,137.19679999999997,136.00349999999997,0.0,0.017514655858724876
2014-05-27,2.8300000000000125,0.0,142.91,142.91000000000057,1132600.0,142.19333333333333,143.9666666666666,145.02333333333328,146.79666666666662,141.1366666666666,139.36333333333332,138.30666666666662,0.0,0.016501884913578443
2014-05-28,3.3700000000000045,0.0,143.59,143.59000000000054,852500.0,143.13333333333333,145.04666666666662,146.5033333333334,148.41666666666666,141.67666666666662,139.76333333333332,138.30666666666664,0.0,0.004758239451403029
2014-05-29,2.430000000000007,0.0,142.71,142.7100000000006,-860900.0,143.04666666666662,144.09333333333333,145.4766666666667,146.5233333333333,141.66333333333333,140.61666666666665,139.2333333333333,0.0,-0.006128560484713388
2014-05-30,2.990000000000009,0.0,143.14,143.14000000000058,1462600.0,143.04333333333332,144.58666666666662,146.03333333333333,147.57666666666663,141.59666666666664,140.0533333333333,138.60666666666665,0.0,0.003013103496601348
2014-06-02,5.270000000000009,0.0,147.15,147.1500000000006,1639400.0,146.04,149.23,151.30999999999997,154.5,143.95999999999995,140.76999999999995,138.68999999999997,0.0,0.028014531228168358
2014-06-03,1.4399999999999975,0.0,147.22,147.22000000000057,1093100.0,147.29333333333332,147.97666666666663,148.73333333333338,149.41666666666663,146.53666666666663,145.85333333333332,145.09666666666664,0.0,0.0004757050628609798
